Claim,Answer,Answer Type,claim_ERE,answer_ERE,Label,Annotation,sim_claim_answer,sim_context+event_sub,sim_context+event_obj,pol_context+event_sub,pol_context+event_object,pearson_context+event_sub,pearson_context+event_obj,relation_claim_answer,Colonne 1,pol_claim_answer,relation_subject,relation_object
Biden has pledged to stop border wall construction and give amnesty and health care to all illegal immigrants.,"According to PolitiFact Fact Checker, a task force recommended that Biden extend Affordable Care Act coverage to immigrants illegally in the country who are protected from deportation under the Deferred Action for Childhood Arrivals program and allowing additional immigrants illegally in the country to also buy health insurance, unsubsidized.
So the task force recommends allowing immigrants here illegally to get access to health care, including Affordable Care Act coverage. But being able to buy health insurance doesn’t amount to getting welfare.",Extractive,"('pledged', 'enable', 'give')","('deferred action for childhood arrivals program', 'cause', 'immigrants illegally in the country who are protected')",Supported,1.0,0.5379413366317749,0.5134618878364563,0.5302311182022095,PP,PN,0.8254289261228678,0.8254289261228678,cause,,PN, enable., prevent.
Biden has pledged to stop border wall construction and give amnesty and health care to all illegal immigrants.,"First thing I’m going to do and I’ve already written, sent to the United States Congress a path to citizenship for 11 million undocumented folks.",Extractive,"('pledged', 'enable', 'give')","('path', 'enable', 'citizenship')",Supported,1.0,0.4131767153739929,0.417236328125,0.4261556267738342,PP,PP,0.8155111459023487,0.8155111459023487,cause,,PP, intend., enable.
President Muhammadu Buhari sign a new Police bill to allow officers arrest without a warrant,"Yes, President Buhari introduced a new police bill which allows the police to arrest without a warrant or court order is true. The bill is confirmed to have been in place since September 16, 2020.",Extractive,"('bill', 'enable', 'arrest')","('bill', 'cause', 'arrest')",Supported,6.0,0.8190188407897949,0.7975091934204102,0.8020890951156616,PP,NN,0.9035165371656432,0.9035165371656432,cause,,NN, no relation., no relation.
President Muhammadu Buhari sign a new Police bill to allow officers arrest without a warrant,"Yes, President Buhari introduced a new police bill which allows the police to arrest without a warrant or court order is true but only under certain circumstances.",Extractive,"('bill', 'enable', 'arrest')","('bill', 'cause', 'arrest')",Supported,6.0,0.7902631759643555,0.7759703397750854,0.794573187828064,PP,NN,0.9322300249532204,0.9322300249532204,cause,,NN, no relation., no relation.
Drinking vodka protects an individual against COVID-19.,"Alcohol in the body at the time of exposure to a pathogen tends to impair the body’s immediate immune response to the pathogen, making it easier for an infection to develop.",Extractive,"('drinking vodka', 'prevent', 'COVID-19')","('alcohol', 'cause', ' infection to develop')",Refuted,1.0,0.6163814067840576,0.5883861780166626,0.5939566493034363,NN,PN,0.749381629356975,0.749381629356975,cause,,NN, cause., cause.
"Drinking traditional Chinese medicine (TCM) or steroids, along with antibiotics at the onset of symptoms cures COVID-19.",Scientists around the world are working to find and develop treatments for COVID-19. Home remedies and traditional medicine do not cure Covid-19.,Extractive,"('drinking', 'enable', 'cures')","('home remedies', 'prevent', 'cure')",Refuted,1.0,0.6513354778289795,0.6284870505332947,0.6731901168823242,PN,PN,0.8677341663729052,0.8677341663729052,cause,,NN, no relation., intend.
The Sarang Jeil Church of Jesus took preventative measure against coronavirus but the government spread the virus to prevent Rev. Jeon Kwang-hun attending the anti-government demonstration on August 15th.,"According to media reports, the SJC has not followed government-issued outlines for sermons. The list of churchgoers submitted by the church for case-tracking purposes was found to be faulty, and Rev. Jeon was caught on a video speaking and walking around without a mask.

The city of Seoul filed a lawsuit against the church for violation of disease prevention laws and obstructing quarantine procedures.

Jeon, whose church is not officially recognized, tested positive for the coronavirus two days after the protests. Against regulations, he had taken off his mask on his way to the hospital.",Abstractive,"('took preventative measure', 'prevent', 'coronavirus')","('violation of disease prevention laws and obstructing quarantine', 'cause', 'procedures the city of seoul filed a lawsuit against the church')",Refuted,1.0,0.7426369190216064,0.7596297264099121,0.7532148957252502,PN,NN,0.8758018664057161,0.8758018664057161,cause,"add new rule A prevnt B , non A cause c ",NN, prevent., cause.
Auto workers across Michigan could have lost their jobs if not for Barack Obama and Joe Biden,"The federal bailout of General Motors Co, Chrysler and parts suppliers in 2009 saved 1.5 million U.S. jobs and preserved $105.3 billion in personal and social insurance tax collections, according to a study released on Monday.

The Bush and Obama administrations loaned the auto industry, including GM and Chrysler, which is now controlled by Italy’s Fiat, $80 billion to avoid the collapse of the industry that they felt would result in the loss of millions of U.S. jobs.",Extractive,"('barack obama and joe biden', 'cause', 'auto workers across michigan not lost their jobs')","('loaned', 'prevent', 'collapse')",Supported,6.0,0.4951577484607696,0.4816740751266479,0.5019574165344238,PP,PN,0.8008484311077098,0.8008484311077098,cause,,PN, enable., prevent.
Auto workers across Michigan could have lost their jobs if not for Barack Obama and Joe Biden,"The Center for Automotive Research (CAR) in Ann Arbor, Michigan, estimated in its study that the bailout saved a lot of jobs, even crediting for a rebound of the industry in 2010 after the initial fallout.",Extractive,"('barack obama and joe biden', 'cause', ' saved jobs')","('bailout', 'cause', 'saved')",Supported,6.0,0.4631064534187317,0.4256772398948669,0.5411043167114258,PP,PP,0.7744743398846108,0.7744743398846108,cause,,PP, enable., prevent.
Auto workers across Michigan could have lost their jobs if not for Barack Obama and Joe Biden,"A recent Harris Poll shows 45% of Americans believe the government's rescue of GM (GM) and Chrysler ""helped"" the U.S. economy.

With the benefit of hindsight, Ford CEO Alan Mulally says the bailouts were the right thing for the industry and ultimately benefited Ford (F) too, even though his firm didn't take government assistance.",Extractive,"('barack obama and joe biden', 'cause', 'auto workers across michigan could have lost their jobs')","('rescue', 'cause', 'helped')",Supported,1.0,0.4359998404979706,0.4024745523929596,0.4350367188453674,PP,PN,0.8169258225049703,0.8169258225049703,cause,,PN, enable., prevent.
Social Security beneficiaries count on the post office to get their checks,Social Security is paid via paper cheques and direct deposits.,Abstractive,"('count', 'cause', 'get')","('direct deposits', 'cause', 'paid')",Conflicting Evidence/Cherrypicking,1.0,0.6129773855209351,0.5666887760162354,0.6205229163169861,PP,PP,0.9072716917816788,0.9072716917816788,cause,,PN, enable., intend.
Social Security beneficiaries count on the post office to get their checks,"The table shows that about 548,416 Americans gets their Social Security benefits via check payments",Abstractive,"('count', 'cause', 'get')","('check', 'cause', 'gets')",Conflicting Evidence/Cherrypicking,1.0,0.5927971005439758,0.6124050617218018,0.5996063351631165,PP,PP,0.862055912782111,0.862055912782111,cause,,PP, enable., intend.
Social Security beneficiaries count on the post office to get their checks,"About 62,800,156 Americans get their Social security benefits via direct payment",Abstractive,"('count', 'cause', 'get')","('direct payment', 'cause', 'get')",Conflicting Evidence/Cherrypicking,1.0,0.5307607650756836,0.523476243019104,0.5500026941299438,PP,PP,0.8419975429365492,0.8419975429365492,cause,,PN, intend., intend.
MS Dhoni has exited the cricket team for refusing to campaign for BJP in Jharkhand election.,"""One of India's greatest Test captains under whose leadership India became the No. 1 team in the test rankings, MS Dhoni, has decided to retire from Test cricket citing the strain of playing all formats of cricket,"" the board said.",Extractive,"('refusing to campaign', 'cause', 'exited the cricket team')","('strain', 'cause', 'retire')",Refuted,1.0,0.7484583258628845,0.7262881398200989,0.7635446786880493,NN,NN,0.8172820644711223,0.8172820644711223,cause,,NN, intend., cause.
The United States Postal Service advises customers to never send cash in the mail.,"Be careful about what you send
Don't risk sending cash in the mail",Extractive,"('advises', 'prevent', 'send')","('be careful ', 'prevent', 'sending')",Supported,1.0,0.5944003462791443,0.6876202821731567,0.7388458251953125,PN,PP,0.8358559716994947,0.8358559716994947,cause,,NN, intend., intend.
"A video shows people in Pakistan are uprooting the trees planted as part of Imran Khan’s plantation campaign because they consider planting trees as ""unIslamic"".",Planting trees is not against Islam. Infact Islam encourages planting trees,Extractive,"('they consider planting trees as ""unislamic"".', 'cause', 'people in pakistan are uprooting the trees planted')","('islam encourages planting trees', 'cause', 'planting trees is not against islam')",Refuted,1.0,0.6510307788848877,0.6400089263916016,0.607535183429718,PN,PP,0.847434591235686,0.847434591235686,cause,,PN, no relation., enable.
Balbir Singh converted to Islam after he participated in the demolition of Babri Masjid,He converted to Islam because he felt guilty,Abstractive,"('he participated in the demolition of babri masjid', 'cause', 'balbir singh converted to islam')","('he felt guilty', 'cause', ' he converted to islam')",Supported,1.0,0.6072021722793579,0.5752271413803101,0.6176950931549072,PN,PP,0.8009647380480516,0.8009647380480516,cause,,NN, cause., intend.
